date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:28	87445/87445	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-15595%22	https://htmlstream.com/preview/front-v4.3.1/account-teams.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/account-teams.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:28	72486/72486	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-11b26%22	https://htmlstream.com/preview/front-v4.3.1/page-faq.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-faq.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:28	66163/66163	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10273%22	https://htmlstream.com/preview/front-v4.3.1/page-terms.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-terms.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:28	62303/62303	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-f35f%22	https://htmlstream.com/preview/front-v4.3.1/page-privacy.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-privacy.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:28	30492/30492	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-771c%22	https://htmlstream.com/preview/front-v4.3.1/page-coming-soon.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-coming-soon.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:29	6507/6507	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-196b%22	https://htmlstream.com/preview/front-v4.3.1/page-coming-soon-simple.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-coming-soon-simple.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:29	3639/3639	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-e37%22	https://htmlstream.com/preview/front-v4.3.1/page-maintenance-mode.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-maintenance-mode.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:29	11110/11110	---MCZ	200	added ('OK')	text/html	etag:W/%226294a9c1-2b66%22	https://htmlstream.com/preview/front-v4.3.1/page-status.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-status.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:29	5832/5832	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-16c8%22	https://htmlstream.com/preview/front-v4.3.1/page-invoice.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-invoice.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:29	3546/3546	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-dda%22	https://htmlstream.com/preview/front-v4.3.1/page-error-404.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/page-error-404.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:30	89564/89564	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-15ddc%22	https://htmlstream.com/preview/front-v4.3.1/blog-journal.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/blog-journal.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:30	38395/38395	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-95fb%22	https://htmlstream.com/preview/front-v4.3.1/blog-metro.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/blog-metro.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:30	81540/81540	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-13e84%22	https://htmlstream.com/preview/front-v4.3.1/blog-newsroom.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/blog-newsroom.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:30	78664/78664	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-13348%22	https://htmlstream.com/preview/front-v4.3.1/blog-article.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/blog-article.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:31	68904/68904	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-10d28%22	https://htmlstream.com/preview/front-v4.3.1/blog-author-profile.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/blog-author-profile.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:31	66788/66788	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-104e4%22	https://htmlstream.com/preview/front-v4.3.1/portfolio-grid.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/portfolio-grid.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:31	64942/64942	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-fdae%22	https://htmlstream.com/preview/front-v4.3.1/portfolio-product-article.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/portfolio-product-article.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:31	66173/66173	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-1027d%22	https://htmlstream.com/preview/front-v4.3.1/portfolio-case-studies-branding.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/portfolio-case-studies-branding.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:31	66464/66464	---MCZ	200	added ('OK')	text/html	etag:W/%226208fb9e-103a0%22	https://htmlstream.com/preview/front-v4.3.1/portfolio-case-studies-product.html	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/portfolio-case-studies-product.html	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:32	457632/457632	---M--	200	added ('OK')	image/png	etag:%226208fb9e-6fba0%22	https://htmlstream.com/preview/front-v4.3.1/assets/img/mockups/img3.png	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/img/mockups/img3.png	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:32	5352/5352	---M--	200	added ('OK')	image/svg+xml	etag:%226208fb9e-14e8%22	https://htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/docs-frame.svg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/docs-frame.svg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:33	31297/31297	---M--	200	added ('OK')	image/svg+xml	etag:%226208fb9e-7a41%22	https://htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/snippets-frame.svg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/snippets-frame.svg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:33	5720/5720	---M--	200	added ('OK')	image/svg+xml	etag:%226208fb9e-1658%22	https://htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/layouts-frame.svg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/svg/illustrations/layouts-frame.svg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:33	964700/964700	---M--	200	added ('OK')	image/png	etag:%226208fb9e-eb85c%22	https://htmlstream.com/preview/front-v4.3.1/assets/img/mockups/img2.png	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/img/mockups/img2.png	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
12:45:34	529063/529063	---M--	200	added ('OK')	image/jpeg	etag:%226208fb9e-812a7%22	https://htmlstream.com/preview/front-v4.3.1/assets/img/1618x1010/img7.jpg	D:/torr/sadasd/htmlstream.com/preview/front-v4.3.1/assets/img/1618x1010/img7.jpg	(from https://htmlstream.com/preview/front-v4.3.1/index.html)
